7zip 25.01-1
ttf-ubuntu-mono-nerd 3.4.0-1
ttf-ubuntu-nerd 3.4.0-1
ttf-victor-mono-nerd 3.4.0-1
ttf-zed-mono-nerd 3.4.0-1
udiskie 2.5.8-1
virtualbox 7.2.4-1
waybar 0.14.0-5
webkit2gtk-4.1 2.50.4-1
wget 1.25.0-3
wireplumber 0.5.13-1
wofi 1.5.1-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
yay 12.5.7-1
yay-debug 12.5.7-1
yazi 26.1.4-1
yq 3.4.3-2
zen-browser-bin 1.17.15b-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
